artist,song,link,text,Moods
Noa,Path To Follow,/n/noa/path+to+follow_10194425.html,"I found a path to follow  
I knew it straight away  
Now that I found it I won' t stray  
No, I will not stray,  
Not stray.  
  
I walk through the woods and holler  
The songbirds will laugh and play  
They know I' ve found it and won' t stray  
No, I will not stray,  
Not stray.  
  
The woods are alive with laughter  
The rivers are drunk with mirth  
They all know what I' ve been after  
They' re rejoicing for my rebirth,  
For my rebirth.  
  
I found a path to follow  
But it' s a path for two  
Why don' t you come here beside me  
I won' t stray, no, I will not stray  
From you.

",Soul
Crowded House,Better Be Home Soon,/c/crowded+house/better+be+home+soon_20034423.html,"Somewhere deep inside, something's got a hold on you  
And it's pushing me aside, see it stretch on forever  
And I know I'm right for the first time in my life  
That's why I tell you, you'd better be home soon  
  
Stripping back the coats of lies and deception  
Back to nothingness like a week in the desert  
And I know I'm right for the first time in my life  
That's why I tell you, you'd better be home soon  
  
So don't say no, don't say nothing's wrong  
'Cause when you get back home maybe I'll be gone, oh  
  
It would cause me pain if we were to end it  
But I could start again, you can depend on it  
And I know I'm right for the first time in my life  
That's why I tell you, you'd better be home soon  
Oh, that's why I tell you, you'd better be home soon

",Baroque
Lil Wayne,Get Down,/l/lil+wayne/get+down_10165283.html,"Weezy  
What up pop, what up pop.  
Fuck what they heard  
it's what they need to know nigga  
(They saying C.A.R.T.E.R. yep!)  
Ya feel me, hey nigga we done built this.  
Shit from the ground up now homie  
Believe that daddy, it ain't no looking back from here, we too strong  
  
[Chorus]  
And that's the only way we get down (we get down)  
Cause that's the only way we was taught (we was taught)  
And everything we got we bought (we bought)  
And real niggas still shine in the dark (still shine in the dark, yeah)  
And that's the only way we get down (we get down)  
And that's the only way we was taught (we was taught)  
And everything we got we bought (we bought)  
And real niggas still shine in the dark  
(Still shine in the dark, fuck a law, oh!)  
Cause that's the only way we get down  
  
I down down a brother  
We ain't cut from the same cloth you Downy soft  
Bullets separate ya body compound a buster  
I'm a find ya if ya hiding I'm a bounty hunter  
In ya home putting dick all down ya woman  
You come home we in the bedroom counting money  
I bring her home and I fuck her on a thousand hundreds  
Then I shoot the nasty bitch in the mouth for nothing  
I say Birdman Birdman what's good today  
We ain't never let them niggas take our food away  
And we recognize real and got a rude awakening  
And woke up together and our life was better  
I'm the Cash Money son I live a life of cheddar  
Not a rat though hat low Nike's is leather  
Lil' maw twist two get my life together  
Ya bitch meet me at the bar and we knife together, cut!  
  
[Chorus]  
  
Throw my weight like Sherman Klump  
I gotta hold up my estate like Donald Trump  
And I aim kinda straight when it's time to pump  
I bring the pump when it's time to pump  
Wrapped around my waist like a cumber bun  
Don't make a nigga pump, you up!  
I come in that new thing, she threw up  
Now yo' bitch ass gotta clean yo' shoe up  
I'm rich as fuck and I never blew up  
Business mug, gotta get my loot up  
Bet ya bitch get fucked if I ever met her  
Bet ya ditch get dug you ever step up  
One by one I push 'em down, fat bullet, fat head make a pussy sound  
Hard head soft ass make a gushy ground I'm straight from a crooked town  
Like that bitch!  
  
[Chorus]  
  
I give my arms and my legs to the game I'm ahead of the game  
I dead any mane if he said anything  
But it's cool, as long as nigga paid when he came  
And I'm a fool with the flame and the caine  
Cut it just a little bit but the drain stay the same yeah  
Young Wayne and the pain and the stain still remain  
On the chest where the four made a mess yes  
I'm still here in the flesh twenty one year old legend  
I'm a live way after my death  
I sacrifice whatever that's left  
I give y'all the last of my breath like  
Write it down take a picture record a copy  
Press pause only way you stop me fucker  
I'm a get mine and make you not me  
Spit wine in ya face if you watch me Bitch!  
  
[Chorus]  
  
And that's the only way we getting down nigga  
Cash Money C-M-B man  
You already know we here never left fuck 'em  
See me if you got a problem boy  
I'm at home all day man, it's not a game  
Stunner, what's really good with 'em  
We ain't never let 'em take our food away  
(I got it, yeah)  
Fresh you nasty on this on dog  
This one, this is the Carter bitch!

",Bass
Ella Fitzgerald,As Long As I Live,/e/ella+fitzgerald/as+long+as+i+live_20045676.html,"Maybe I can't live to love you as long as I want to.  
Life isn't long enough baby, but I can love you as long as I live.  
  
Maybe I can't give you diamonds and things like I want to,  
But I can promise you, baby, I'm gonna want to as long as I live.  
  
I never cared, but now I'm scared, I won't live long enough.  
That's why I wear my rubbers when it rains and eat an apple every day then see  
the doctor anyway.  
  
What if I can't live to love you as long as I want to.  
Long as I promise you, baby, I'm gonna love you as long I live.  
  
I'll even wear long underwear, when winter breezes blow  
I'm gonna take good care of me because, a sneeze or two might mean the flu,  
And that would never never do  
  
What if I can't live to love you as long as I want to.  
Long as I promise you, baby, I'm gonna love you as long I live.

",Beat
Yngwie Malmsteen,Don't Let It End,/y/yngwie+malmsteen/dont+let+it+end_20531862.html,"You say the end of time is coming far too near  
My love for life is torn in vain through all the years  
What's the answer to the question  
That we have been searching for  
Can you tell?  
  
Don't want to fall apart before we have a chance  
To try again  
Don't let it end  
  
I tried so hard to make it right for you and I  
Your sacred promises have all become a lie  
  
Is this your idea of destiny?  
'Cause if it is, just set me free  
  
You can not fool me with your stories being told  
My God it brings me down, I feel I'm growing old  
  
Is this your idea of destiny?  
'Cause if it is, just set me free  
  
No, please don't end it now, there is so much more  
We can do, you know, don't let it end  
  
Let's gather what we had and build it up, again  
It used to be so good, oh, please don't let it end  
  
No, please don't end it now, there is so much more  
We can do, you know, don't let it end

",Beautiful
Tom Waits,Broken Bicycles,/t/tom+waits/broken+bicycles_20138902.html,"Broken bicycles, old busted chains  
With busted handle bars out in the rain.  
Somebody must have an orphanage for  
All these things that nobody wants any more  
September's reminding July  
It's time to be saying good-bye  
Summer is gone, Our love will remain  
Like old broken bicycles out in the rain  
  
Broken bicycles, don't tell my folks  
There's all those playing cards pinned to the spokes  
Laid down like skeletons out on the lawn  
The wheels won't turn when the other has gone  
The seasons can turn on a dime  
Somehow I forget every time  
For all the things that you've given me  
Will always stay, there broken but I'll never throw them away

",Big Band
Elton John,I Want Love,/e/elton+john/i+want+love_20046639.html,"I want love, but it's impossible  
A man like me, so irresponsible  
A man like me is dead in places  
Other men feel liberated  
  
I can't love, shot full of holes  
Don't feel nothing, I just feel cold  
Don't feel nothing, just old scars  
Toughening up around my heart  
  
But I want love, just a different kind  
I want love, won't break me down  
Won't brick me up, won't fence me in  
I want a love, that don't mean a thing  
That's the love I want, I want love  
  
I want love on my own terms  
After everything I've ever learned  
Me, I carry too much baggage  
Oh man I've seen so much traffic  
  
But I want love, just a different kind  
I want love, won't break me down  
Won't brick me up, won't fence me in  
I want a love, that don't mean a thing  
That's the love I want, I want love  
  
So bring it on, I've been bruised  
Don't give me love that's clean and smooth  
I'm ready for the rougher stuff  
No sweet romance, I've had enough  
  
A man like me is dead in places  
Other men feel liberated  
  
But I want love, just a different kind  
I want love, won't break me down  
Won't brick me up, won't fence me in  
I want a love, that don't mean a thing  
That's the love I want, I want love  
  
I want love, just a different kind  
I want love, won't break me down  
Won't brick me up, won't fence me in  
I want a love, that don't mean a thing  
That's the love I want, I want love

",Black Metal
Cinderella,Cinderella,/c/cinderella/cinderella_20640742.html,"When I was just a little girl  
My momma used to tuck me into bed  
And she'd read me a story  
It always was about a princess in distress  
And how a guy would save her and end up with the glory  
I'd lie in bed and think about the person that I wanted to be  
Then one day I realized the fairy tale life wasn't for me  
  
I don't wanna be like Cinderella  
Sittin' in a dark old dusty cellar  
Waiting for somebody, to come and set me free  
I don't wanna be like Snow White waiting  
For a handsome prince to come and save me  
On a horse of white, unless we're riding side by side  
Don't want to depend on no-one else  
I'd rather rescue myself  
  
Someday I'm gonna find someone who wants my soul, heart, and mind  
Who's not afraid to show that he loves me  
Somebody who will understand I'm happy just the way I am  
Don't need nobody taking care of me  
I will be there for him just as strong as he, will be there for me  
When I give myself then it has got to be, an equal thing  
  
I don't wanna be like Cinderella  
Sittin' in a dark old dusty cellar  
Waiting for somebody to come and set me free  
I don't wanna be like Snow White waiting  
For a handsome prince to come and save me  
On a horse of white, unless we're riding side by side  
Don't want to depend on no-one else  
I'd rather rescue myself  
  
I can slay, my own dragons  
I can dream, my own dreams  
My knight in shining armour is me  
So I'm gonna set me free  
  
I don't wanna be like Cinderella  
Sittin' in a dark old dusty cellar  
Waiting for somebody to come and set me free  
I don't wanna be like Snow White waiting  
For a handsome prince to come and save me  
On a horse of white, unless we're riding side by side  
  
I don't wanna be like Cinderella  
Sittin' in a dark old dusty cellar  
Waiting for somebody to come and set me free  
I don't wanna be like Snow White waiting  
For a handsome prince to come and save me  
On a horse of white, unless we're riding side by side  
Don't want to depend on no-one else  
I'd rather rescue myself  
  
I don't wanna be like Cinderella  
Sittin' in a dark old dusty cellar  
Waiting for somebody to come and set me free  
I don't wanna be like Snow White waiting  
For a handsome prince to come and save me  
On a horse of white, unless we're riding side by side  
Don't want to depend on no-one else  
I'd rather rescue myself

",Bluegrass
Neil Sedaka,My Baby,/n/neil+sedaka/my+baby_20613349.html,"My baby, my baby, my baby, my baby  
  
Wait till you see my baby  
You won't believe your eyes  
And if you think there's no such thing as an angel  
You're in for a surprise  
  
Wait till you see my baby, gee whizz she's out of this world  
And out of all the boys that she could have chosen  
She want to be my girl  
  
(What about her hair) Her hair is gold like the sunlight  
(What about her eyes) Her eyes are diamonds that shine  
(What about her lips) Her lips are redder than rubies  
This treasure is mine  
  
She took my heart to heaven  
Now I'm in paradise  
And if you doubt me wait till you see my baby  
You won't believe your eyes  
  
(What about her hair) Her hair is gold like the sunlight  
(What about her eyes) Her eyes are diamonds that shine  
(What about her lips) Her lips are redder than rubies  
This treasure is mine  
  
My baby, my baby, my baby, my baby  
  
Repeat and fade

",Blues
Kelly Clarkson,People Like Us,/k/kelly+clarkson/people+like+us_21049019.html,"We come into this world unknown  
But know that we are not alone  
They try and knock us down  
But change is coming, it's our time now  
  
Hey everybody loses it  
Everybody wants to throw it all away sometimes  
And hey, yeah I know what you're going through  
Don't let it get the best of you, you'll make it out alive  
Oh, people like us we've gotta stick together  
Keep your head up, nothing lasts forever  
Here's to the damned to the lost and forgotten  
It's hard to get high when you're living on the bottom  
  
Oh woah oh oh woah oh  
We are all misfits living in a world on fire  
Oh woah oh oh woah oh  
Sing it for the people like us, the people like us  
  
Hey, this is not a funeral  
It's a revolution, after all your tears have turned to rage  
Just wait, everything will be okay  
Even when you're feeling like it's going down in flames  
  
Oh, people like us we've gotta stick together  
Keep your head up nothing lasts forever  
Here's to the damned, to the lost and forgotten  
It's hard to get high when you're living on the bottom  
  
Oh woah oh oh woah oh  
We are all misfits living in a world on fire  
Oh woah oh oh woah oh  
Sing it for the people like us, the people like us  
  
Oh woah oh oh woah oh  
You've just gotta turn it up loud when the flames get higher  
Oh woah oh oh woah oh  
Sing it for the people like us, the people like us  
  
They can't do nothing to you, they can't do nothing to me  
This is the life that we choose, this is the life that we bleed  
So throw your fists in the air, come out, come out if you dare  
Tonight we're gonna change forever  
  
Everybody loses it,  
Everybody wants to throw it all away sometimes  
  
Oh, people like us we've gotta stick together  
Keep your head up nothing lasts forever  
Here's to the damned, to the lost and forgotten  
It's hard to get high when you're living on the bottom  
  
Oh woah oh oh woah oh  
We are all misfits living in a world on fire  
Oh woah oh oh woah oh  
Sing it for the people like us, the people like us  
  
Oh woah oh oh woah oh  
You've just got to turn it up loud when the flames get higher  
Oh woah oh oh woah oh  
Sing it for the people like us, the people like us  
  
Oh woah oh oh woah oh  
We're all misfits living in a world on fire  
Oh woah oh oh woah oh  
Sing it for the people like us, the people like us  
  
Oh woah oh oh woah oh  
You've just got to turn it up loud when the flames get higher  
Oh woah oh oh woah oh  
Sing it for the people like us, the people like us

",Bossa Nova
